crime,date_rept,chrgdesc,agency,name_code,age,race,sex,inci_id
Aggravated Assault,08/31/2010,"ASSAULT, AGGRAVATED",WPD,VI,19,B,M,10001331
Aggravated Assault,08/31/2010,"ASSAULT, AGGRAVATED",WPD,VI,,,,10001331
Aggravated Assault,08/31/2010,"ASSAULT, AGGRAVATED",WPD,VI,18,B,M,10001331
Aggravated Assault,05/30/2010,"ASSAULT, AGGRAVATED",WPD,VI,27,W,M,10000768
Aggravated Assault,11/23/2009,"ASSAULT, AGGRAVATED, DOMESTIC",WPD,VI,32,W,F,09018255
Aggravated Assault,11/23/2009,"ASSAULT, AGGRAVATED, DOMESTIC",WPD,VI,16,B,F,09018255
Aggravated Assault,11/25/2010,"ASSAULT, AGGRAVATED, SEXUAL ASSAULT/BATTERY",WPD,VI,08,W,F,10001843
Aggravated Assault,08/05/2010,"ASSAULT, AGGRAVATED, SEXUAL ASSAULT/BATTERY",WPD,VI,2,B,F,10001169
Aggravated Assault,12/11/2009,"ASSAULT, AGGRAVATED/ATMP MURDER",WPD,VI,,,,09018346
Aggravated Assault,12/11/2009,"ASSAULT, AGGRAVATED/ATMP MURDER",WPD,VI,18,B,M,09018346
Aggravated Assault,06/04/2010,"ASSAULT, AGGRAVATED/ATMP MURDER",WPD,VI,31,W,M,10000794
Aggravated Assault,11/27/2009,"ASSAULT, POLICE OFFICER",WPD,VI,05,W,F,09018270
Aggravated Assault,11/27/2009,"ASSAULT, POLICE OFFICER",WPD,VI,,,,09018270
Aggravated Assault,09/03/2010,"ASSAULT, POLICE OFFICER (SIMPLE)",WPD,VI,37,W,M,10001345
Aggravated Assault,09/03/2010,"ASSAULT, POLICE OFFICER (SIMPLE)",WPD,VI,21,W,M,10001345
Aggravated Assault,09/03/2010,"ASSAULT, POLICE OFFICER (SIMPLE)",WPD,VI,,,,10001345
Aggravated Assault,10/16/2010,"ASSAULT, POLICE OFFICER (SIMPLE)",WPD,VI,40,W,F,10001587
Aggravated Assault,11/07/2010,"ASSAULT, POLICE OFFICER (SIMPLE)",WPD,VI,42,W,M,10001732
Aggravated Assault,05/21/2010,"ASSAULT, POLICE OFFICER (SIMPLE)",WPD,VI,28,W,M,10000722
Aggravated Assault,05/21/2010,"ASSAULT, POLICE OFFICER (SIMPLE)",WPD,VI,,,,10000722
Aggravated Assault,02/19/2010,"ASSAULT, POLICE OFFICER (SIMPLE)",WPD,VI,24,W,F,10000200
Aggravated Assault,10/17/2010,BRANDISH FIREARM,WPD,VI,23,B,F,10001594
Aggravated Assault,08/12/2009,BRANDISH FIREARM,WPD,VI,43,W,M,09017693
Aggravated Assault,08/12/2009,BRANDISH FIREARM,WPD,VI,19,W,M,09017693
Aggravated Assault,08/12/2009,BRANDISH FIREARM,WPD,VI,,,,09017693
Aggravated Assault,10/01/2010,BRANDISH FIREARM,WPD,VI,32,W,M,10001517
Aggravated Assault,12/31/2009,MAIMING,WPD,VI,26,W,F,09018430
Aggravated Assault,11/01/2009,MAIMING,WPD,VI,43,W,M,09018131
Aggravated Assault,06/23/2010,MAIMING,WPD,VI,21,B,F,10000899
Aggravated Assault,08/22/2009,MAIMING,WPD,VI,24,W,M,09017743
Aggravated Assault,09/01/2010,MAIMING,WPD,VI,45,W,M,10001332
Aggravated Assault,08/15/2009,MAIMING,WPD,VI,33,W,M,09017704
Aggravated Assault,09/03/2010,MAIMING,WPD,VI,,,,10001345
Aggravated Assault,09/03/2010,MAIMING,WPD,VI,21,W,M,10001345
Aggravated Assault,09/03/2010,MAIMING,WPD,VI,37,W,M,10001345
