crime,date_rept,chrgdesc,agency,name_code,age,race,sex,inci_id
Burglary,09/04/2009,"BURGLARY, BUSINESS",WPD,VI,,,,09017821
Burglary,08/08/2009,"BURGLARY, BUSINESS",WPD,VI,,,,09017665
Burglary,03/24/2010,"BURGLARY, BUSINESS",WPD,VI,,,,10000374
Burglary,12/26/2009,"BURGLARY, BUSINESS",WPD,VI,,,,09018407
Burglary,10/16/2009,"BURGLARY, BUSINESS",WPD,VI,,,,09018043
Burglary,05/23/2010,"BURGLARY, BUSINESS",WPD,VI,57,W,F,10000732
Burglary,10/16/2009,"BURGLARY, BUSINESS",WPD,VI,,,,09018043
Burglary,01/28/2010,"BURGLARY, BUSINESS",WPD,VI,,,,10000115
Burglary,07/02/2010,"BURGLARY, BUSINESS",WPD,VI,,,,10000959
Burglary,01/26/2010,"BURGLARY, BUSINESS",WPD,VI,,,,10000108
Burglary,11/28/2010,"BURGLARY, RESIDENTIAL",WPD,VI,75,B,M,10001857
Burglary,11/19/2010,"BURGLARY, RESIDENTIAL",WPD,VI,40,B,M,10001802
Burglary,08/01/2009,"BURGLARY, RESIDENTIAL",WPD,VI,39,W,F,09017626
Burglary,04/16/2010,"BURGLARY, RESIDENTIAL",WPD,VI,43,B,F,10000495
Burglary,04/16/2010,"BURGLARY, RESIDENTIAL",WPD,VI,28,B,F,10000495
Burglary,10/29/2010,"BURGLARY, RESIDENTIAL",WPD,VI,26,W,M,10001682
Burglary,10/29/2010,"BURGLARY, RESIDENTIAL",WPD,VI,23,W,F,10001682
Burglary,10/19/2010,"BURGLARY, RESIDENTIAL",WPD,VI,26,W,M,10001614
Burglary,10/19/2010,"BURGLARY, RESIDENTIAL",WPD,VI,24,W,F,10001614
Burglary,05/21/2010,"BURGLARY, RESIDENTIAL",WPD,VI,52,W,F,10000721
Burglary,05/16/2010,"BURGLARY, RESIDENTIAL",WPD,VI,,,,10000694
Burglary,05/16/2010,"BURGLARY, RESIDENTIAL",WPD,VI,24,W,F,10000694
Burglary,05/21/2010,"BURGLARY, RESIDENTIAL",WPD,VI,NN,W,M,10000721
Burglary,09/24/2010,"BURGLARY, RESIDENTIAL",WPD,VI,24,W,M,10001477
Burglary,09/24/2010,"BURGLARY, RESIDENTIAL",WPD,VI,24,W,M,10001477
Burglary,11/28/2010,"BURGLARY, RESIDENTIAL",WPD,VI,21,A,F,10001858
Burglary,11/28/2010,"BURGLARY, RESIDENTIAL",WPD,VI,21,W,F,10001858
Burglary,11/28/2010,"BURGLARY, RESIDENTIAL",WPD,VI,21,W,F,10001858
Burglary,11/28/2010,"BURGLARY, RESIDENTIAL",WPD,VI,22,W,F,10001858
Burglary,11/16/2010,"BURGLARY, RESIDENTIAL",WPD,VI,84,W,M,10001775
Burglary,11/16/2010,"BURGLARY, RESIDENTIAL",WPD,VI,82,W,F,10001775
Burglary,12/02/2010,"BURGLARY, RESIDENTIAL",WPD,VI,33,B,F,10001884
Burglary,04/30/2010,"BURGLARY, RESIDENTIAL",WPD,VI,19,W,F,10000584
Burglary,06/12/2010,"BURGLARY, RESIDENTIAL",WPD,VI,19,W,F,10000842
Burglary,08/09/2009,"BURGLARY, RESIDENTIAL",WPD,VI,22,B,F,09017669
Burglary,11/15/2010,"BURGLARY, RESIDENTIAL",WPD,VI,22,W,M,10001773
Burglary,11/15/2010,"BURGLARY, RESIDENTIAL",WPD,VI,19,W,M,10001773
Burglary,12/02/2010,"BURGLARY, RESIDENTIAL",WPD,VI,49,W,F,10001878
Burglary,11/17/2009,"BURGLARY, RESIDENTIAL",WPD,VI,27,B,M,09018220
Burglary,11/16/2010,"BURGLARY, RESIDENTIAL",WPD,VI,50,W,M,10001776
Burglary,11/16/2010,"BURGLARY, RESIDENTIAL",WPD,VI,40,W,F,10001776
Burglary,08/25/2010,"BURGLARY, RESIDENTIAL",WPD,VI,59,W,M,10001303
Burglary,08/25/2010,"BURGLARY, RESIDENTIAL",WPD,VI,24,W,M,10001303
Burglary,12/08/2010,"BURGLARY, RESIDENTIAL",WPD,VI,24,W,M,10001922
Burglary,12/08/2010,"BURGLARY, RESIDENTIAL",WPD,VI,24,W,M,10001922
Burglary,08/01/2009,"BURGLARY, RESIDENTIAL",WPD,VI,64,W,M,09017629
Burglary,06/27/2010,"BURGLARY, RESIDENTIAL",WPD,VI,61,W,M,10000926
Burglary,01/12/2010,"BURGLARY, RESIDENTIAL",WPD,VI,27,A,F,10000042
Burglary,03/11/2010,"BURGLARY, RESIDENTIAL",WPD,VI,26,W,F,10000301
Burglary,12/29/2010,"BURGLARY, RESIDENTIAL",WPD,VI,49,W,F,10002030
Burglary,12/29/2010,"BURGLARY, RESIDENTIAL",WPD,VI,19,W,M,10002030
Burglary,10/21/2010,"BURGLARY, RESIDENTIAL",WPD,VI,63,W,M,10001629
Burglary,05/08/2010,"BURGLARY, RESIDENTIAL",WPD,VI,75,W,F,10000647
Burglary,02/24/2010,"BURGLARY, RESIDENTIAL",WPD,VI,25,B,F,10000234
Burglary,03/21/2010,"BURGLARY, RESIDENTIAL",WPD,VI,48,W,F,10000364
Burglary,10/21/2010,"BURGLARY, RESIDENTIAL",WPD,VI,48,W,F,10001624
Burglary,08/25/2010,"BURGLARY, RESIDENTIAL",WPD,VI,19,W,M,10001304
Burglary,08/25/2010,"BURGLARY, RESIDENTIAL",WPD,VI,18,W,F,10001304
Burglary,08/25/2010,"BURGLARY, RESIDENTIAL",WPD,VI,19,W,F,10001304
Burglary,09/12/2010,"BURGLARY, RESIDENTIAL",WPD,VI,26,B,F,10001412
