crime,date_rept,chrgdesc,agency,name_code,age,race,sex,inci_id
Robbery,04/06/2010,ROBBERY,WPD,VI,25,W,M,10000438
Robbery,05/09/2010,ROBBERY,WPD,VI,18,B,M,10000655
Robbery,05/09/2010,ROBBERY,WPD,VI,,,,10000655
Robbery,10/17/2009,ROBBERY,WPD,VI,27,W,F,9018049
Robbery,12/06/2009,ROBBERY,WPD,VI,56,W,F,9018319
Robbery,08/23/2010,ROBBERY,WPD,VI,19,W,M,10001287
Robbery,08/23/2010,ROBBERY,WPD,VI,19,W,F,10001287
Robbery,08/23/2010,ROBBERY,WPD,VI,19,W,M,10001287
Robbery,08/23/2010,ROBBERY,WPD,VI,19,W,F,10001287
Robbery,08/23/2010,ROBBERY,WPD,VI,19,W,M,10001287
Robbery,09/07/2010,ROBBERY,WPD,VI,29,W,M,10001371
Robbery,09/13/2010,ROBBERY,WPD,VI,21,B,F,10001419
Robbery,10/13/2009,ROBBERY,WPD,VI,22,A,F,9018026
Robbery,10/13/2009,ROBBERY,WPD,VI,19,A,F,9018026
Robbery,10/13/2009,ROBBERY,WPD,VI,18,A,F,9018026
Robbery,11/16/2009,ROBBERY,WPD,VI,17,W,M,9018217
Robbery,11/16/2009,ROBBERY,WPD,VI,17,B,M,9018217
Robbery,07/04/2010,ROBBERY,WPD,VI,19,W,M,10000973
Robbery,01/23/2010,ROBBERY,WPD,VI,47,W,M,10000093
Robbery,09/24/2009,"ROBBERY, CARJACKING",WPD,VI,38,B,M,9017934
Robbery,08/27/2009,"ROBBERY, COMMERCIAL / BUSINESS",WPD,VI,,,,9017772
Robbery,04/07/2010,"ROBBERY, COMMERCIAL / BUSINESS",WPD,VI,,,,10000439
