crime,date_rept,chrgdesc,agency,name_code,age,race,sex,inci_id
Simple Assault,03/07/2010,"ASSAULT, SIMPLE",WPD,VI,25,B,F,10000288
Simple Assault,09/26/2009,"ASSAULT, SIMPLE",WPD,VI,23,W,M,09017940
Simple Assault,09/26/2009,"ASSAULT, SIMPLE",WPD,VI,25,W,M,09017940
Simple Assault,09/26/2009,"ASSAULT, SIMPLE",WPD,VI,,,,09017940
Simple Assault,10/07/2009,"ASSAULT, SIMPLE",WPD,VI,17,B,F,09017988
Simple Assault,11/17/2010,"ASSAULT, SIMPLE",WPD,VI,64,W,F,10001786
Simple Assault,11/17/2010,"ASSAULT, SIMPLE",WPD,VI,,,,10001786
Simple Assault,05/16/2010,"ASSAULT, SIMPLE",WPD,VI,24,W,F,10000694
Simple Assault,05/16/2010,"ASSAULT, SIMPLE",WPD,VI,,,,10000694
Simple Assault,04/01/2010,"ASSAULT, SIMPLE",WPD,VI,48,B,M,10000418
Simple Assault,01/04/2010,"ASSAULT, SIMPLE",WPD,VI,12,B,F,10000011
Simple Assault,01/07/2010,"ASSAULT, SIMPLE",WPD,VI,13,W,F,10000024
Simple Assault,11/15/2010,"ASSAULT, SIMPLE",WPD,VI,19,W,F,10001771
Simple Assault,11/15/2010,"ASSAULT, SIMPLE",WPD,VI,44,W,F,10001771
Simple Assault,12/23/2009,"ASSAULT, SIMPLE",WPD,VI,46,W,M,09018398
Simple Assault,12/23/2009,"ASSAULT, SIMPLE",WPD,VI,,,,09018398
Simple Assault,10/04/2010,"ASSAULT, SIMPLE",WPD,VI,31,B,F,10001528
Simple Assault,08/01/2009,"ASSAULT, SIMPLE",WPD,VI,45,B,F,09017628
Simple Assault,10/10/2009,"ASSAULT, SIMPLE",WPD,VI,17,B,M,09018013
Simple Assault,10/10/2009,"ASSAULT, SIMPLE",WPD,VI,17,B,M,09018013
Simple Assault,10/10/2009,"ASSAULT, SIMPLE",WPD,VI,,,,09018013
Simple Assault,06/13/2010,"ASSAULT, SIMPLE",WPD,VI,43,B,F,10000849
Simple Assault,10/08/2009,"ASSAULT, SIMPLE",WPD,VI,32,W,F,09017996
Simple Assault,11/28/2010,"ASSAULT, SIMPLE",WPD,VI,67,W,F,10001863
Simple Assault,11/28/2010,"ASSAULT, SIMPLE",WPD,VI,71,W,M,10001863
Simple Assault,10/08/2009,"ASSAULT, SIMPLE",WPD,VI,30,W,F,09017996
Simple Assault,08/08/2010,"ASSAULT, SIMPLE",WPD,VI,28,B,F,10001194
Simple Assault,08/08/2010,"ASSAULT, SIMPLE",WPD,VI,38,B,F,10001194
Simple Assault,06/28/2010,"ASSAULT, SIMPLE",WPD,VI,20,B,F,10000935
Simple Assault,03/05/2010,"ASSAULT, SIMPLE",WPD,VI,11,W,M,10000282
Simple Assault,09/09/2009,"ASSAULT, SIMPLE",WPD,VI,13,W,M,09017851
Simple Assault,04/12/2010,"ASSAULT, SIMPLE",WPD,VI,37,W,F,10000469
Simple Assault,09/11/2009,"ASSAULT, SIMPLE",WPD,VI,40,W,M,09017857
Simple Assault,09/11/2009,"ASSAULT, SIMPLE",WPD,VI,48,W,M,09017857
Simple Assault,09/11/2009,"ASSAULT, SIMPLE",WPD,VI,,,,09017857
Simple Assault,04/29/2010,"ASSAULT, SIMPLE",WPD,VI,24,W,M,10000575
Simple Assault,04/29/2010,"ASSAULT, SIMPLE",WPD,VI,51,W,M,10000575
Simple Assault,01/15/2010,"ASSAULT, SIMPLE",WPD,VI,55,W,M,10000052
Simple Assault,09/04/2009,"ASSAULT, SIMPLE",WPD,VI,44,W,M,09017828
Simple Assault,09/04/2009,"ASSAULT, SIMPLE",WPD,VI,,,,09017828
Simple Assault,05/07/2010,"ASSAULT, SIMPLE",WPD,VI,11,B,F,10000636
Simple Assault,05/07/2010,"ASSAULT, SIMPLE",WPD,VI,14,B,F,10000636
Simple Assault,05/07/2010,"ASSAULT, SIMPLE",WPD,VI,14,B,M,10000636
Simple Assault,05/07/2010,"ASSAULT, SIMPLE",WPD,VI,13,W,M,10000636
Simple Assault,05/07/2010,"ASSAULT, SIMPLE",WPD,VI,45,W,F,10000636
Simple Assault,11/26/2010,"ASSAULT, SIMPLE",WPD,VI,65,W,F,10001845
Simple Assault,11/26/2010,"ASSAULT, SIMPLE",WPD,VI,88,W,F,10001845
Simple Assault,11/26/2010,"ASSAULT, SIMPLE",WPD,VI,47,W,F,10001845
Simple Assault,10/18/2009,"ASSAULT, SIMPLE",WPD,VI,50,B,F,09018060
Simple Assault,07/31/2010,"ASSAULT, SIMPLE",WPD,VI,52,B,M,10001142
Simple Assault,07/31/2010,"ASSAULT, SIMPLE",WPD,VI,55,B,M,10001142
Simple Assault,01/19/2010,"ASSAULT, SIMPLE",WPD,VI,14,B,F,10000072
Simple Assault,01/19/2010,"ASSAULT, SIMPLE",WPD,VI,13,B,F,10000072
Simple Assault,10/14/2010,"ASSAULT, SIMPLE",WPD,VI,17,B,F,10001575
Simple Assault,04/09/2010,"ASSAULT, SIMPLE",WPD,VI,27,W,M,10000451
